TRANS DATE,TRANS VAT DESC,ORIGINAL GROSS AMT,ORIGINAL CUR,BILLING GROSS AMT,BILLING CUR CODE,TRANS TAX RATE,TRANS TAX AMT,MERCHANT NAME,CARD NUMBER,TRANS CAC CODE 1,TRANS CAC DESC 1,TRANS CAC CODE 2,TRANS CAC DESC 2,TRANS CAC CODE 3,DIRECTORATE,TRANS_DATE_YM,TRANS_DATE_Y,TRANS_DATE_M,TRANS_DATE_D
2018-08-02,VR,68.0,GBP,68.0,GBP,20.0,11.33,beeches road servi,************5804,K020,Vehicle Fuel,RVA11,Beeches GOLDD,A00,Adult Social Care and Health,2018-08,2018,08,02
2018-07-26,VR,68.0,GBP,68.0,GBP,20.0,11.33,beeches road servi,************5804,K020,Vehicle Fuel,RVA11,Beeches GOLDD,A00,Adult Social Care and Health,2018-07,2018,07,26
2018-07-20,VR,60.0,GBP,60.0,GBP,20.0,10.0,mrh six ways,************5804,K020,Vehicle Fuel,RVA11,Beeches GOLDD,A00,Adult Social Care and Health,2018-07,2018,07,20
2018-07-12,VZ,75.0,GBP,75.0,GBP,0.0,0.0,hmcourts-service.g,************8998,MC70,Supplies & Sev Mic,RV3T0,Mental Health Management Budget,A00,Adult Social Care and Health,2018-07,2018,07,12
2018-07-09,VZ,75.0,GBP,75.0,GBP,0.0,0.0,hmcourts-service.g,************8998,MC70,Supplies & Sev Mic,RV3T0,Mental Health Management Budget,A00,Adult Social Care and Health,2018-07,2018,07,09
2018-07-06,VZ,75.0,GBP,75.0,GBP,0.0,0.0,hmcourts-service.g,************8998,MC70,Supplies & Sev Mic,RV3T0,Mental Health Management Budget,A00,Adult Social Care and Health,2018-07,2018,07,06
2018-07-06,VZ,75.0,GBP,75.0,GBP,0.0,0.0,hmcourts-service.g,************8998,MC70,Supplies & Sev Mic,RV3T0,Mental Health Management Budget,A00,Adult Social Care and Health,2018-07,2018,07,06
2018-07-06,VZ,75.0,GBP,75.0,GBP,0.0,0.0,hmcourts-service.g,************8998,MC70,Supplies & Sev Mic,RV3T0,Mental Health Management Budget,A00,Adult Social Care and Health,2018-07,2018,07,06
2018-07-04,VZ,75.0,GBP,75.0,GBP,0.0,0.0,hmcourts-service.g,************8998,MC70,Supplies & Sev Mic,RV3T0,Mental Health Management Budget,A00,Adult Social Care and Health,2018-07,2018,07,04
2018-07-27,VZ,75.0,GBP,75.0,GBP,0.0,0.0,hmcourts-service.g,************8998,MC70,Supplies & Sev Mic,RV3T0,Mental Health Management Budget,A00,Adult Social Care and Health,2018-07,2018,07,27
2018-07-25,VZ,75.0,GBP,75.0,GBP,0.0,0.0,hmcourts-service.g,************8998,MC70,Supplies & Sev Mic,RV3T0,Mental Health Management Budget,A00,Adult Social Care and Health,2018-07,2018,07,25
2018-07-13,VR,6.5,GBP,6.5,GBP,20.0,1.08,mrh waterlinks,************2823,MC70,Supplies & Sev Mic,RV191,Moseley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,13
2018-07-18,VR,63.49,GBP,63.49,GBP,20.0,10.58,vauxhall road fuel exp,************7214,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,Adult Social Care and Health,2018-07,2018,07,18
2018-07-18,VR,96.3,GBP,96.3,GBP,20.0,16.05,vauxhall road fuel exp,************7214,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,Adult Social Care and Health,2018-07,2018,07,18
2018-07-12,VR,82.74,GBP,82.74,GBP,20.0,13.79,vauxhall road fuel exp,************7214,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,Adult Social Care and Health,2018-07,2018,07,12
2018-07-11,VR,75.54,GBP,75.54,GBP,20.0,12.59,vauxhall road fuel exp,************7214,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,Adult Social Care and Health,2018-07,2018,07,11
2018-07-09,VR,92.29,GBP,92.29,GBP,20.0,15.38,vauxhall road fuel exp,************7214,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,Adult Social Care and Health,2018-07,2018,07,09
2018-07-05,VR,77.21,GBP,77.21,GBP,20.0,12.87,vauxhall road fuel exp,************7214,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,Adult Social Care and Health,2018-07,2018,07,05
2018-07-31,VR,59.44,GBP,59.44,GBP,20.0,9.91,vauxhall road fuel exp,************7214,K020,Vehicle Fuel,RV192,Sparkbrook Resource Centre,A00,Adult Social Care and Health,2018-07,2018,07,31
2018-07-31,VR,51.27,GBP,51.27,GBP,20.0,8.55,vauxhall road fuel exp,************7214,K020,Vehicle Fuel,RV192,Sparkbrook Resource Centre,A00,Adult Social Care and Health,2018-07,2018,07,31
2018-07-31,VR,67.08,GBP,67.08,GBP,20.0,11.18,vauxhall road fuel exp,************7214,K020,Vehicle Fuel,RV192,Sparkbrook Resource Centre,A00,Adult Social Care and Health,2018-07,2018,07,31
2018-07-25,VR,69.34,GBP,69.34,GBP,20.0,11.56,vauxhall road fuel exp,************7214,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,Adult Social Care and Health,2018-07,2018,07,25
2018-07-25,VR,67.82,GBP,67.82,GBP,20.0,11.3,vauxhall road fuel exp,************7214,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,Adult Social Care and Health,2018-07,2018,07,25
2018-07-23,VR,71.4,GBP,71.4,GBP,20.0,11.9,vauxhall road fuel exp,************7214,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,Adult Social Care and Health,2018-07,2018,07,23
2018-07-13,VR,48.23,GBP,48.23,GBP,20.0,8.04,tesco pfs 4203,************5463,K020,Vehicle Fuel,RV18P,Hockley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,13
2018-07-09,VR,93.19,GBP,93.19,GBP,20.0,15.53,malthurst limited,************5463,K020,Vehicle Fuel,RV18P,Hockley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,09
2018-07-09,VR,59.01,GBP,59.01,GBP,20.0,9.84,malthurst limited,************5463,K020,Vehicle Fuel,RV18P,Hockley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,09
2018-07-09,VR,81.0,GBP,81.0,GBP,20.0,13.5,malthurst limited,************5463,K020,Vehicle Fuel,RV18P,Hockley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,09
2018-07-04,VR,58.7,GBP,58.7,GBP,20.0,9.78,malthurst limited,************5463,K020,Vehicle Fuel,RV18P,Hockley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,04
2018-07-19,VZ,66.28,GBP,66.28,GBP,0.0,0.0,malthurst limited,************8807,K020,Vehicle Fuel,RUF0F,Illegal Money Lending T Stds Comm Inv.,A00,Adult Social Care and Health,2018-07,2018,07,19
2018-07-26,VZ,87.54,GBP,87.54,GBP,0.0,0.0,malthurst limited,************8807,K020,Vehicle Fuel,RUF0F,Illegal Money Lending T Stds Comm Inv.,A00,Adult Social Care and Health,2018-07,2018,07,26
2018-07-19,VR,72.0,GBP,72.0,GBP,20.0,12.0,malthurst limited,************3668,K020,Vehicle Fuel,RV18P,Hockley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,19
2018-07-19,VR,55.0,GBP,55.0,GBP,20.0,9.17,tesco pfs 4203,************3668,K020,Vehicle Fuel,RV18P,Hockley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,19
2018-07-13,VR,73.0,GBP,73.0,GBP,20.0,12.17,malthurst limited,************3668,K020,Vehicle Fuel,RV18P,Hockley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,13
